law,name,prop,fail,return_code,verdict,error_id,warnings,deck,out,note
LAW12,3D_COMP,TYPE1,TSAIWU,2,BLOCKED:3046,3046,"100214,100214,100214",deck_LAW12_TYPE1_TSAIWU_0000.rad,deck_LAW12_TYPE1_TSAIWU_0000.out,3D solid composite orthotropic
LAW12,3D_COMP,TYPE1,CHANG,2,BLOCKED:3046,3046,"100214,100214,100214",deck_LAW12_TYPE1_CHANG_0000.rad,deck_LAW12_TYPE1_CHANG_0000.out,3D solid composite orthotropic
LAW12,3D_COMP,TYPE1,USER1,2,BLOCKED:1130,1130,"100214,100214,100214",deck_LAW12_TYPE1_USER1_0000.rad,deck_LAW12_TYPE1_USER1_0000.out,3D solid composite orthotropic
LAW12,3D_COMP,TYPE1,JOHNSON,2,BLOCKED:3046,3046,"100214,100214,100214",deck_LAW12_TYPE1_JOHNSON_0000.rad,deck_LAW12_TYPE1_JOHNSON_0000.out,3D solid composite orthotropic
LAW14,COMPSO,TYPE14,base,2,BLOCKED:3047,3047,"100214,100217,100214,100217",deck_LAW14_TYPE14_base_0000.rad,deck_LAW14_TYPE14_base_0000.out,legacy composite solid orthotropic
LAW14,COMPSO,TYPE14,HASHIN,2,BLOCKED:3047,3047,"100214,100217,100214,100217",deck_LAW14_TYPE14_HASHIN_0000.rad,deck_LAW14_TYPE14_HASHIN_0000.out,legacy composite solid orthotropic
LAW14,COMPSO,TYPE14,PUCK,2,BLOCKED:3047,3047,"100214,100217,100214,100217",deck_LAW14_TYPE14_PUCK_0000.rad,deck_LAW14_TYPE14_PUCK_0000.out,legacy composite solid orthotropic
LAW14,COMPSO,TYPE14,TSAIWU,2,BLOCKED:3047,3047,"100214,100217,100214,100217",deck_LAW14_TYPE14_TSAIWU_0000.rad,deck_LAW14_TYPE14_TSAIWU_0000.out,legacy composite solid orthotropic
LAW14,COMPSO,TYPE14,CHANG,2,BLOCKED:3047,3047,"100214,100217,100214,100217",deck_LAW14_TYPE14_CHANG_0000.rad,deck_LAW14_TYPE14_CHANG_0000.out,legacy composite solid orthotropic
LAW14,COMPSO,TYPE14,USER1,2,BLOCKED:1130,1130,"100214,100217,100214,100217",deck_LAW14_TYPE14_USER1_0000.rad,deck_LAW14_TYPE14_USER1_0000.out,legacy composite solid orthotropic
LAW14,COMPSO,TYPE14,JOHNSON,2,BLOCKED:3047,3047,"100214,100217,100214,100217",deck_LAW14_TYPE14_JOHNSON_0000.rad,deck_LAW14_TYPE14_JOHNSON_0000.out,legacy composite solid orthotropic
LAW14,COMPSO,TYPE6,base,0,OK,,"100214,100217,100214,100217",deck_LAW14_TYPE6_base_0000.rad,deck_LAW14_TYPE6_base_0000.out,legacy composite solid orthotropic
LAW14,COMPSO,TYPE6,HASHIN,0,OK,,"100214,100217,100214,100217",deck_LAW14_TYPE6_HASHIN_0000.rad,deck_LAW14_TYPE6_HASHIN_0000.out,legacy composite solid orthotropic
LAW14,COMPSO,TYPE6,PUCK,0,OK,,"100214,100217,100214,100217",deck_LAW14_TYPE6_PUCK_0000.rad,deck_LAW14_TYPE6_PUCK_0000.out,legacy composite solid orthotropic
LAW14,COMPSO,TYPE6,TSAIWU,0,OK,,"100214,100217,100214,100217",deck_LAW14_TYPE6_TSAIWU_0000.rad,deck_LAW14_TYPE6_TSAIWU_0000.out,legacy composite solid orthotropic
LAW14,COMPSO,TYPE6,CHANG,0,OK,,"100214,100217,100214,100217",deck_LAW14_TYPE6_CHANG_0000.rad,deck_LAW14_TYPE6_CHANG_0000.out,legacy composite solid orthotropic
LAW14,COMPSO,TYPE6,USER1,2,BLOCKED:1130,1130,"100214,100217,100214,100217",deck_LAW14_TYPE6_USER1_0000.rad,deck_LAW14_TYPE6_USER1_0000.out,legacy composite solid orthotropic
LAW14,COMPSO,TYPE6,JOHNSON,0,OK,,"100214,100217,100214,100217",deck_LAW14_TYPE6_JOHNSON_0000.rad,deck_LAW14_TYPE6_JOHNSON_0000.out,legacy composite solid orthotropic
LAW14,COMPSO,TYPE1,base,2,BLOCKED:3046,3046,"100214,100214,100214",deck_LAW14_TYPE1_base_0000.rad,deck_LAW14_TYPE1_base_0000.out,legacy composite solid orthotropic
LAW14,COMPSO,TYPE1,HASHIN,2,BLOCKED:3046,3046,"100214,100214,100214",deck_LAW14_TYPE1_HASHIN_0000.rad,deck_LAW14_TYPE1_HASHIN_0000.out,legacy composite solid orthotropic
LAW14,COMPSO,TYPE1,PUCK,2,BLOCKED:3046,3046,"100214,100214,100214",deck_LAW14_TYPE1_PUCK_0000.rad,deck_LAW14_TYPE1_PUCK_0000.out,legacy composite solid orthotropic
LAW14,COMPSO,TYPE1,TSAIWU,2,BLOCKED:3046,3046,"100214,100214,100214",deck_LAW14_TYPE1_TSAIWU_0000.rad,deck_LAW14_TYPE1_TSAIWU_0000.out,legacy composite solid orthotropic
LAW14,COMPSO,TYPE1,CHANG,2,BLOCKED:3046,3046,"100214,100214,100214",deck_LAW14_TYPE1_CHANG_0000.rad,deck_LAW14_TYPE1_CHANG_0000.out,legacy composite solid orthotropic
LAW14,COMPSO,TYPE1,USER1,2,BLOCKED:1130,1130,"100214,100214,100214",deck_LAW14_TYPE1_USER1_0000.rad,deck_LAW14_TYPE1_USER1_0000.out,legacy composite solid orthotropic
LAW14,COMPSO,TYPE1,JOHNSON,2,BLOCKED:3046,3046,"100214,100214,100214",deck_LAW14_TYPE1_JOHNSON_0000.rad,deck_LAW14_TYPE1_JOHNSON_0000.out,legacy composite solid orthotropic
