law,mechanism,family,description,iorth,ip,angle_deg,analytic_gpa,job,starter_check_rc,starter_rc,engine_rc,e_global_stress_gpa,e_global_reaction_gpa,e_cell_stress_gpa,sigma_x_mean_pa,strain_x_cell,strain_x_engineering,reaction_force_x_n,reaction_sigma_x_pa,rel_err_pct,angle_pass,combo_pass_count,verdict,error,vtk_path
LAW12,M1_phi_ip3,M1_phi,"PROP Phi on Ip=3 (t,r plane)",0,3,45.0,13.277196220353677,ori_law12_M1_phi_ip3_io0_a045,0,0,0,13.271242154653473,12.99321005448892,35.32614703745331,6641858.75,0.00018801537407853175,0.0005004700142308138,650.2712020874023,6502712.020874023,0.04484429996655075,True,5,PASS,,references/orientation_probe_decks/runs/ori_law12_M1_phi_ip3_io0_a045/ori_law12_M1_phi_ip3_io0_a045A001.vtk
LAW12,M1_phi_ip3,M1_phi,"PROP Phi on Ip=3 (t,r plane)",0,3,60.0,10.303106998372343,ori_law12_M1_phi_ip3_io0_a060,0,0,0,10.301395685866106,10.492898997110425,16.14938070385093,5155720.0,0.0003192518706782721,0.000500487522003823,525.1565017700195,5251565.017700195,0.016609674212908578,True,5,PASS,,references/orientation_probe_decks/runs/ori_law12_M1_phi_ip3_io0_a060/ori_law12_M1_phi_ip3_io0_a060A001.vtk
LAW12,M1_phi_ip3,M1_phi,"PROP Phi on Ip=3 (t,r plane)",0,3,90.0,9.08,ori_law12_M1_phi_ip3_io0_a090,0,0,0,9.065303980939104,8.772514115231274,9.08110004530705,4537252.5,0.0004996368807042018,0.0005005074854125269,439.0708980560303,4390708.980560303,0.16185043018607842,True,5,PASS,,references/orientation_probe_decks/runs/ori_law12_M1_phi_ip3_io0_a090/ori_law12_M1_phi_ip3_io0_a090A001.vtk
LAW12,M1_phi_ip3,M1_phi,"PROP Phi on Ip=3 (t,r plane)",1,3,0.0,171.4,ori_law12_M1_phi_ip3_io1_a000,0,0,0,9.031886564480953,9.48466855577022,9.069885246854184,4519962.5,0.0004983483668183908,0.0005004450031265151,474.6554985046387,4746554.985046387,94.73052125759571,False,1,FAIL,,references/orientation_probe_decks/runs/ori_law12_M1_phi_ip3_io1_a000/ori_law12_M1_phi_ip3_io1_a000A001.vtk
LAW12,M1_phi_ip3,M1_phi,"PROP Phi on Ip=3 (t,r plane)",1,3,30.0,22.267164983219914,ori_law12_M1_phi_ip3_io1_a030,0,0,0,22.34186178397852,22.34100419891353,15.873595813034033,11174450.0,0.0007039646297926083,0.0005001575118512847,1117.4021072387695,11174021.072387695,0.3354571667066551,True,1,FAIL,,references/orientation_probe_decks/runs/ori_law12_M1_phi_ip3_io1_a030/ori_law12_M1_phi_ip3_io1_a030A001.vtk
LAW12,M1_phi_ip3,M1_phi,"PROP Phi on Ip=3 (t,r plane)",1,3,45.0,13.277196220353677,ori_law12_M1_phi_ip3_io1_a045,0,0,0,46.167022547630616,45.88233246486167,34.40854063881211,23087550.0,0.0006709831213811412,0.0005000874807592481,2294.5180053710938,22945180.053710938,247.71665479235364,False,1,FAIL,,references/orientation_probe_decks/runs/ori_law12_M1_phi_ip3_io1_a045/ori_law12_M1_phi_ip3_io1_a045A001.vtk
LAW12,M1_phi_ip3,M1_phi,"PROP Phi on Ip=3 (t,r plane)",1,3,60.0,10.303106998372343,ori_law12_M1_phi_ip3_io1_a060,0,0,0,94.84505444176659,94.83565361392404,104.48544235989611,47447662.5,0.00045410787788568996,0.0005002650141250342,4744.295959472656,47442959.59472656,820.54808764725,False,1,FAIL,,references/orientation_probe_decks/runs/ori_law12_M1_phi_ip3_io1_a060/ori_law12_M1_phi_ip3_io1_a060A001.vtk
LAW12,M1_phi_ip3,M1_phi,"PROP Phi on Ip=3 (t,r plane)",1,3,90.0,9.08,ori_law12_M1_phi_ip3_io1_a090,0,0,0,171.30042760513442,170.9839072982084,171.41182990544542,85730299.0,0.0005001422541681677,0.000500467513120384,8557.189086914062,85571890.86914062,1786.5685859596304,False,1,FAIL,,references/orientation_probe_decks/runs/ori_law12_M1_phi_ip3_io1_a090/ori_law12_M1_phi_ip3_io1_a090A001.vtk
LAW12,M2_skew_requested_ip1,M2_skew_requested,"Prior-style skew_ID set but Ip=1, so CFG/source indicate skew is ignored",0,1,0.0,171.4,ori_law12_M2_skew_requested_ip1_io0_a000,0,0,0,9.065303980939104,8.772514115231274,9.08110004530705,4537252.5,0.0004996368807042018,0.0005005074854125269,439.0708980560303,4390708.980560303,94.71102451520471,False,1,FAIL,,references/orientation_probe_decks/runs/ori_law12_M2_skew_requested_ip1_io0_a000/ori_law12_M2_skew_requested_ip1_io0_a000A001.vtk
LAW12,M2_skew_requested_ip1,M2_skew_requested,"Prior-style skew_ID set but Ip=1, so CFG/source indicate skew is ignored",0,1,30.0,22.267164983219914,ori_law12_M2_skew_requested_ip1_io0_a030,0,0,0,9.065303980939104,8.772514115231274,9.08110004530705,4537252.5,0.0004996368807042018,0.0005005074854125269,439.0708980560303,4390708.980560303,59.28846807498604,False,1,FAIL,,references/orientation_probe_decks/runs/ori_law12_M2_skew_requested_ip1_io0_a030/ori_law12_M2_skew_requested_ip1_io0_a030A001.vtk
LAW12,M2_skew_requested_ip1,M2_skew_requested,"Prior-style skew_ID set but Ip=1, so CFG/source indicate skew is ignored",0,1,45.0,13.277196220353677,ori_law12_M2_skew_requested_ip1_io0_a045,0,0,0,9.065303980939104,8.772514115231274,9.08110004530705,4537252.5,0.0004996368807042018,0.0005005074854125269,439.0708980560303,4390708.980560303,31.72275358074339,False,1,FAIL,,references/orientation_probe_decks/runs/ori_law12_M2_skew_requested_ip1_io0_a045/ori_law12_M2_skew_requested_ip1_io0_a045A001.vtk
LAW12,M2_skew_requested_ip1,M2_skew_requested,"Prior-style skew_ID set but Ip=1, so CFG/source indicate skew is ignored",0,1,60.0,10.303106998372343,ori_law12_M2_skew_requested_ip1_io0_a060,0,0,0,9.065303980939104,8.772514115231274,9.08110004530705,4537252.5,0.0004996368807042018,0.0005005074854125269,439.0708980560303,4390708.980560303,12.013881032476744,False,1,FAIL,,references/orientation_probe_decks/runs/ori_law12_M2_skew_requested_ip1_io0_a060/ori_law12_M2_skew_requested_ip1_io0_a060A001.vtk
LAW12,M2_skew_requested_ip1,M2_skew_requested,"Prior-style skew_ID set but Ip=1, so CFG/source indicate skew is ignored",0,1,90.0,9.08,ori_law12_M2_skew_requested_ip1_io0_a090,0,0,0,9.065303980939104,8.772514115231274,9.08110004530705,4537252.5,0.0004996368807042018,0.0005005074854125269,439.0708980560303,4390708.980560303,0.16185043018607842,True,1,FAIL,,references/orientation_probe_decks/runs/ori_law12_M2_skew_requested_ip1_io0_a090/ori_law12_M2_skew_requested_ip1_io0_a090A001.vtk
LAW12,M2_skew_requested_ip1,M2_skew_requested,"Prior-style skew_ID set but Ip=1, so CFG/source indicate skew is ignored",1,1,0.0,171.4,ori_law12_M2_skew_requested_ip1_io1_a000,0,0,0,171.30042760513442,170.9839072982084,171.41182990544542,85730299.0,0.0005001422541681677,0.000500467513120384,8557.189086914062,85571890.86914062,0.05809357926812723,True,1,FAIL,,references/orientation_probe_decks/runs/ori_law12_M2_skew_requested_ip1_io1_a000/ori_law12_M2_skew_requested_ip1_io1_a000A001.vtk
LAW12,M2_skew_requested_ip1,M2_skew_requested,"Prior-style skew_ID set but Ip=1, so CFG/source indicate skew is ignored",1,1,30.0,22.267164983219914,ori_law12_M2_skew_requested_ip1_io1_a030,0,0,0,171.30042760513442,170.9839072982084,171.41182990544542,85730299.0,0.0005001422541681677,0.000500467513120384,8557.189086914062,85571890.86914062,669.2960811770289,False,1,FAIL,,references/orientation_probe_decks/runs/ori_law12_M2_skew_requested_ip1_io1_a030/ori_law12_M2_skew_requested_ip1_io1_a030A001.vtk
LAW12,M2_skew_requested_ip1,M2_skew_requested,"Prior-style skew_ID set but Ip=1, so CFG/source indicate skew is ignored",1,1,45.0,13.277196220353677,ori_law12_M2_skew_requested_ip1_io1_a045,0,0,0,171.30042760513442,170.9839072982084,171.41182990544542,85730299.0,0.0005001422541681677,0.000500467513120384,8557.189086914062,85571890.86914062,1190.1852526856107,False,1,FAIL,,references/orientation_probe_decks/runs/ori_law12_M2_skew_requested_ip1_io1_a045/ori_law12_M2_skew_requested_ip1_io1_a045A001.vtk
LAW12,M2_skew_requested_ip1,M2_skew_requested,"Prior-style skew_ID set but Ip=1, so CFG/source indicate skew is ignored",1,1,60.0,10.303106998372343,ori_law12_M2_skew_requested_ip1_io1_a060,0,0,0,171.30042760513442,170.9839072982084,171.41182990544542,85730299.0,0.0005001422541681677,0.000500467513120384,8557.189086914062,85571890.86914062,1562.6094209464777,False,1,FAIL,,references/orientation_probe_decks/runs/ori_law12_M2_skew_requested_ip1_io1_a060/ori_law12_M2_skew_requested_ip1_io1_a060A001.vtk
LAW12,M2_skew_requested_ip1,M2_skew_requested,"Prior-style skew_ID set but Ip=1, so CFG/source indicate skew is ignored",1,1,90.0,9.08,ori_law12_M2_skew_requested_ip1_io1_a090,0,0,0,171.30042760513442,170.9839072982084,171.41182990544542,85730299.0,0.0005001422541681677,0.000500467513120384,8557.189086914062,85571890.86914062,1786.5685859596304,False,1,FAIL,,references/orientation_probe_decks/runs/ori_law12_M2_skew_requested_ip1_io1_a090/ori_law12_M2_skew_requested_ip1_io1_a090A001.vtk
LAW12,M2_skew_requested_ip3,M2_skew_requested,"skew_ID set but Ip=3, retained for requested cross product",0,3,0.0,171.4,ori_law12_M2_skew_requested_ip3_io0_a000,0,0,0,171.23943863142526,171.6416699584078,171.39848383412087,85699776.0,0.0005000031160307117,0.000500467513120384,8590.107971191406,85901079.71191406,0.09367641107044197,True,1,FAIL,,references/orientation_probe_decks/runs/ori_law12_M2_skew_requested_ip3_io0_a000/ori_law12_M2_skew_requested_ip3_io0_a000A001.vtk
LAW12,M2_skew_requested_ip3,M2_skew_requested,"skew_ID set but Ip=3, retained for requested cross product",0,3,30.0,22.267164983219914,ori_law12_M2_skew_requested_ip3_io0_a030,0,0,0,171.23943863142526,171.6416699584078,171.39848383412087,85699776.0,0.0005000031160307117,0.000500467513120384,8590.107971191406,85901079.71191406,669.0221847301524,False,1,FAIL,,references/orientation_probe_decks/runs/ori_law12_M2_skew_requested_ip3_io0_a030/ori_law12_M2_skew_requested_ip3_io0_a030A001.vtk
LAW12,M2_skew_requested_ip3,M2_skew_requested,"skew_ID set but Ip=3, retained for requested cross product",0,3,45.0,13.277196220353677,ori_law12_M2_skew_requested_ip3_io0_a045,0,0,0,171.23943863142526,171.6416699584078,171.39848383412087,85699776.0,0.0005000031160307117,0.000500467513120384,8590.107971191406,85901079.71191406,1189.7259013835967,False,1,FAIL,,references/orientation_probe_decks/runs/ori_law12_M2_skew_requested_ip3_io0_a045/ori_law12_M2_skew_requested_ip3_io0_a045A001.vtk
LAW12,M2_skew_requested_ip3,M2_skew_requested,"skew_ID set but Ip=3, retained for requested cross product",0,3,60.0,10.303106998372343,ori_law12_M2_skew_requested_ip3_io0_a060,0,0,0,171.23943863142526,171.6416699584078,171.39848383412087,85699776.0,0.0005000031160307117,0.000500467513120384,8590.107971191406,85901079.71191406,1562.0174735492624,False,1,FAIL,,references/orientation_probe_decks/runs/ori_law12_M2_skew_requested_ip3_io0_a060/ori_law12_M2_skew_requested_ip3_io0_a060A001.vtk
LAW12,M2_skew_requested_ip3,M2_skew_requested,"skew_ID set but Ip=3, retained for requested cross product",0,3,90.0,9.08,ori_law12_M2_skew_requested_ip3_io0_a090,0,0,0,171.23943863142526,171.6416699584078,171.39848383412087,85699776.0,0.0005000031160307117,0.000500467513120384,8590.107971191406,85901079.71191406,1785.8969012271505,False,1,FAIL,,references/orientation_probe_decks/runs/ori_law12_M2_skew_requested_ip3_io0_a090/ori_law12_M2_skew_requested_ip3_io0_a090A001.vtk
LAW12,M2_skew_requested_ip3,M2_skew_requested,"skew_ID set but Ip=3, retained for requested cross product",1,3,0.0,171.4,ori_law12_M2_skew_requested_ip3_io1_a000,0,0,0,9.031886564480953,9.48466855577022,9.069885246854184,4519962.5,0.0004983483668183908,0.0005004450031265151,474.6554985046387,4746554.985046387,94.73052125759571,False,1,FAIL,,references/orientation_probe_decks/runs/ori_law12_M2_skew_requested_ip3_io1_a000/ori_law12_M2_skew_requested_ip3_io1_a000A001.vtk
LAW12,M2_skew_requested_ip3,M2_skew_requested,"skew_ID set but Ip=3, retained for requested cross product",1,3,30.0,22.267164983219914,ori_law12_M2_skew_requested_ip3_io1_a030,0,0,0,9.031886564480953,9.48466855577022,9.069885246854184,4519962.5,0.0004983483668183908,0.0005004450031265151,474.6554985046387,4746554.985046387,59.43854293401427,False,1,FAIL,,references/orientation_probe_decks/runs/ori_law12_M2_skew_requested_ip3_io1_a030/ori_law12_M2_skew_requested_ip3_io1_a030A001.vtk
LAW12,M2_skew_requested_ip3,M2_skew_requested,"skew_ID set but Ip=3, retained for requested cross product",1,3,45.0,13.277196220353677,ori_law12_M2_skew_requested_ip3_io1_a045,0,0,0,9.031886564480953,9.48466855577022,9.069885246854184,4519962.5,0.0004983483668183908,0.0005004450031265151,474.6554985046387,4746554.985046387,31.974443891736325,False,1,FAIL,,references/orientation_probe_decks/runs/ori_law12_M2_skew_requested_ip3_io1_a045/ori_law12_M2_skew_requested_ip3_io1_a045A001.vtk
LAW12,M2_skew_requested_ip3,M2_skew_requested,"skew_ID set but Ip=3, retained for requested cross product",1,3,60.0,10.303106998372343,ori_law12_M2_skew_requested_ip3_io1_a060,0,0,0,9.031886564480953,9.48466855577022,9.069885246854184,4519962.5,0.0004983483668183908,0.0005004450031265151,474.6554985046387,4746554.985046387,12.338224130761855,False,1,FAIL,,references/orientation_probe_decks/runs/ori_law12_M2_skew_requested_ip3_io1_a060/ori_law12_M2_skew_requested_ip3_io1_a060A001.vtk
LAW12,M2_skew_requested_ip3,M2_skew_requested,"skew_ID set but Ip=3, retained for requested cross product",1,3,90.0,9.08,ori_law12_M2_skew_requested_ip3_io1_a090,0,0,0,9.031886564480953,9.48466855577022,9.069885246854184,4519962.5,0.0004983483668183908,0.0005004450031265151,474.6554985046387,4746554.985046387,0.5298836510908236,True,1,FAIL,,references/orientation_probe_decks/runs/ori_law12_M2_skew_requested_ip3_io1_a090/ori_law12_M2_skew_requested_ip3_io1_a090A001.vtk
LAW12,M2_skew_ip0,M2_skew,documented skew_ID use: Ip=0 references /SKEW/FIX,0,0,0.0,171.4,ori_law12_M2_skew_ip0_io0_a000,0,0,0,9.14102265808943,8.763832031786285,9.079337909023062,4574556.25,0.000503842493344564,0.0005004425020160852,438.579402923584,4385794.02923584,94.66684792410186,False,1,FAIL,,references/orientation_probe_decks/runs/ori_law12_M2_skew_ip0_io0_a000/ori_law12_M2_skew_ip0_io0_a000A001.vtk
LAW12,M2_skew_ip0,M2_skew,documented skew_ID use: Ip=0 references /SKEW/FIX,0,0,30.0,22.267164983219914,ori_law12_M2_skew_ip0_io0_a030,0,0,0,9.14102265808943,8.763832031786285,20.765981444839337,4574556.25,0.00022029087631381117,0.0005004425020160852,438.579402923584,4385794.02923584,58.94842174575021,False,1,FAIL,,references/orientation_probe_decks/runs/ori_law12_M2_skew_ip0_io0_a030/ori_law12_M2_skew_ip0_io0_a030A001.vtk
LAW12,M2_skew_ip0,M2_skew,documented skew_ID use: Ip=0 references /SKEW/FIX,0,0,45.0,13.277196220353677,ori_law12_M2_skew_ip0_io0_a045,0,0,0,9.14102265808943,8.763832031786285,36.32950053982659,4574556.25,0.00012591850099852309,0.0005004425020160852,438.579402923584,4385794.02923584,31.15246241464425,False,1,FAIL,,references/orientation_probe_decks/runs/ori_law12_M2_skew_ip0_io0_a045/ori_law12_M2_skew_ip0_io0_a045A001.vtk
LAW12,M2_skew_ip0,M2_skew,documented skew_ID use: Ip=0 references /SKEW/FIX,0,0,60.0,10.303106998372343,ori_law12_M2_skew_ip0_io0_a060,0,0,0,9.14102265808943,8.763832031786285,20.745522197927933,4574556.25,0.00022050812731322367,0.0005004425020160852,438.579402923584,4385794.02923584,11.278969930783948,False,1,FAIL,,references/orientation_probe_decks/runs/ori_law12_M2_skew_ip0_io0_a060/ori_law12_M2_skew_ip0_io0_a060A001.vtk
LAW12,M2_skew_ip0,M2_skew,documented skew_ID use: Ip=0 references /SKEW/FIX,0,0,90.0,9.08,ori_law12_M2_skew_ip0_io0_a090,0,0,0,9.14102265808943,8.763832031786285,9.079337909023062,4574556.25,0.000503842493344564,0.0005004425020160852,438.579402923584,4385794.02923584,0.6720557058307253,True,1,FAIL,,references/orientation_probe_decks/runs/ori_law12_M2_skew_ip0_io0_a090/ori_law12_M2_skew_ip0_io0_a090A001.vtk
LAW12,M2_skew_ip0,M2_skew,documented skew_ID use: Ip=0 references /SKEW/FIX,1,0,0.0,171.4,ori_law12_M2_skew_ip0_io1_a000,0,0,0,9.01507496192797,9.476133953627766,9.063196611701676,4512112.5,0.0004978500073775649,0.0005005074854125269,474.28759765625,4742875.9765625,94.74032966048543,False,1,FAIL,,references/orientation_probe_decks/runs/ori_law12_M2_skew_ip0_io1_a000/ori_law12_M2_skew_ip0_io1_a000A001.vtk
LAW12,M2_skew_ip0,M2_skew,documented skew_ID use: Ip=0 references /SKEW/FIX,1,0,30.0,22.267164983219914,ori_law12_M2_skew_ip0_io1_a030,0,0,0,9.01507496192797,9.476133953627766,15.090197714286253,4512112.5,0.00029900950175942853,0.0005005074854125269,474.28759765625,4742875.9765625,59.51404245344412,False,1,FAIL,,references/orientation_probe_decks/runs/ori_law12_M2_skew_ip0_io1_a030/ori_law12_M2_skew_ip0_io1_a030A001.vtk
LAW12,M2_skew_ip0,M2_skew,documented skew_ID use: Ip=0 references /SKEW/FIX,1,0,45.0,13.277196220353677,ori_law12_M2_skew_ip0_io1_a045,0,0,0,9.01507496192797,9.476133953627766,10.869744656324213,4512112.5,0.00041510749724693596,0.0005005074854125269,474.28759765625,4742875.9765625,32.10106401750664,False,1,FAIL,,references/orientation_probe_decks/runs/ori_law12_M2_skew_ip0_io1_a045/ori_law12_M2_skew_ip0_io1_a045A001.vtk
LAW12,M2_skew_ip0,M2_skew,documented skew_ID use: Ip=0 references /SKEW/FIX,1,0,60.0,10.303106998372343,ori_law12_M2_skew_ip0_io1_a060,0,0,0,9.01507496192797,9.476133953627766,9.641240203055103,4512112.5,0.0004680012534663547,0.0005005074854125269,474.28759765625,4742875.9765625,12.501394352672957,False,1,FAIL,,references/orientation_probe_decks/runs/ori_law12_M2_skew_ip0_io1_a060/ori_law12_M2_skew_ip0_io1_a060A001.vtk
LAW12,M2_skew_ip0,M2_skew,documented skew_ID use: Ip=0 references /SKEW/FIX,1,0,90.0,9.08,ori_law12_M2_skew_ip0_io1_a090,0,0,0,9.01507496192797,9.476133953627766,9.063196611701676,4512112.5,0.0004978500073775649,0.0005005074854125269,474.28759765625,4742875.9765625,0.7150334589430519,True,1,FAIL,,references/orientation_probe_decks/runs/ori_law12_M2_skew_ip0_io1_a090/ori_law12_M2_skew_ip0_io1_a090A001.vtk
LAW12,M3_vector_requested_ip1,M3_vector_requested,"fiber vector populated but Ip=1, retained for requested cross product",0,1,0.0,171.4,ori_law12_M3_vector_requested_ip1_io0_a000,0,0,0,9.065303980939104,8.772514115231274,9.08110004530705,4537252.5,0.0004996368807042018,0.0005005074854125269,439.0708980560303,4390708.980560303,94.71102451520471,False,1,FAIL,,references/orientation_probe_decks/runs/ori_law12_M3_vector_requested_ip1_io0_a000/ori_law12_M3_vector_requested_ip1_io0_a000A001.vtk
LAW12,M3_vector_requested_ip1,M3_vector_requested,"fiber vector populated but Ip=1, retained for requested cross product",0,1,30.0,22.267164983219914,ori_law12_M3_vector_requested_ip1_io0_a030,0,0,0,9.065303980939104,8.772514115231274,9.08110004530705,4537252.5,0.0004996368807042018,0.0005005074854125269,439.0708980560303,4390708.980560303,59.28846807498604,False,1,FAIL,,references/orientation_probe_decks/runs/ori_law12_M3_vector_requested_ip1_io0_a030/ori_law12_M3_vector_requested_ip1_io0_a030A001.vtk
LAW12,M3_vector_requested_ip1,M3_vector_requested,"fiber vector populated but Ip=1, retained for requested cross product",0,1,45.0,13.277196220353677,ori_law12_M3_vector_requested_ip1_io0_a045,0,0,0,9.065303980939104,8.772514115231274,9.08110004530705,4537252.5,0.0004996368807042018,0.0005005074854125269,439.0708980560303,4390708.980560303,31.72275358074339,False,1,FAIL,,references/orientation_probe_decks/runs/ori_law12_M3_vector_requested_ip1_io0_a045/ori_law12_M3_vector_requested_ip1_io0_a045A001.vtk
LAW12,M3_vector_requested_ip1,M3_vector_requested,"fiber vector populated but Ip=1, retained for requested cross product",0,1,60.0,10.303106998372343,ori_law12_M3_vector_requested_ip1_io0_a060,0,0,0,9.065303980939104,8.772514115231274,9.08110004530705,4537252.5,0.0004996368807042018,0.0005005074854125269,439.0708980560303,4390708.980560303,12.013881032476744,False,1,FAIL,,references/orientation_probe_decks/runs/ori_law12_M3_vector_requested_ip1_io0_a060/ori_law12_M3_vector_requested_ip1_io0_a060A001.vtk
LAW12,M3_vector_requested_ip1,M3_vector_requested,"fiber vector populated but Ip=1, retained for requested cross product",0,1,90.0,9.08,ori_law12_M3_vector_requested_ip1_io0_a090,0,0,0,9.065303980939104,8.772514115231274,9.08110004530705,4537252.5,0.0004996368807042018,0.0005005074854125269,439.0708980560303,4390708.980560303,0.16185043018607842,True,1,FAIL,,references/orientation_probe_decks/runs/ori_law12_M3_vector_requested_ip1_io0_a090/ori_law12_M3_vector_requested_ip1_io0_a090A001.vtk
